facility_id,FRS ID,fac_name,st_address,city,county,state,zipcode,lat,long,datum,industry,total_release
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1224
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,2411
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,2424
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1196
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,2246
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,54342
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,4226
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,3.62
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1867.789
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,3191.75
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,0.8
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,5.5
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,5677.05
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,7366
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,473
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,0.28
08805JMFNCPOBOX,1.10E+11,CYALUME SPECIALTY PRODUCTS,100 W MAIN ST,BOUND BROOK,SOMERSET,NJ,8805,40.560139,-74.536111,NAD83,Chemicals,8.6
08088CLNLC78CAR,1.10E+11,COLONIAL CHEMICAL CO,78 CARRANZA RD,TABERNACLE,BURLINGTON,NJ,8088,39.86041,-74.72463,NAD83,Chemicals,0
07603STRNC35WFR,1.10E+11,BOGOTA,305 W FORT LEE RD,BOGOTA,BERGEN,NJ,7603,40.879132,-74.037445,NAD83,Nonmetallic Mineral Product,0.031677
07977KMLNS12HOL,1.10E+11,KOMLINE-SANDERSON CORP,12 HOLLAND AVE,PEAPACK,SOMERSET,NJ,7934,40.709091,-74.670599,NAD83,Machinery,1
07977KMLNS12HOL,1.10E+11,KOMLINE-SANDERSON CORP,12 HOLLAND AVE,PEAPACK,SOMERSET,NJ,7934,40.709091,-74.670599,NAD83,Machinery,1
07977KMLNS12HOL,1.10E+11,KOMLINE-SANDERSON CORP,12 HOLLAND AVE,PEAPACK,SOMERSET,NJ,7934,40.709091,-74.670599,NAD83,Machinery,1
07603STRNC35WFR,1.10E+11,BOGOTA,305 W FORT LEE RD,BOGOTA,BERGEN,NJ,7603,40.879132,-74.037445,NAD83,Nonmetallic Mineral Product,0
0700WBYNNXWESTF,1.10E+11,BAYONNE,WEST FIFTH ST,BAYONNE,HUDSON,NJ,7002,40.65153,-74.1356,NAD83,Nonmetallic Mineral Product,0
0700WBYNNXWESTF,1.10E+11,BAYONNE,WEST FIFTH ST,BAYONNE,HUDSON,NJ,7002,40.65153,-74.1356,NAD83,Nonmetallic Mineral Product,11.5764
08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,39.933611,-75.128333,NAD83,Primary Metals,8.074
08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,39.933611,-75.128333,NAD83,Primary Metals,0.07
08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,39.933611,-75.128333,NAD83,Primary Metals,287
08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,39.933611,-75.128333,NAD83,Primary Metals,0
